biome * ffffff ffffff ffffff
biome 183 ffffff 91bd59 77ab2f
biome 184 ffffff 80b497 60a17b
biome 185 ffffff 90b879 73a557
biome 186 ffffff 8eb971 71a74d
biome 187 ffffff 72c250 4eb224
biome 188 ffffff 86bb6f 68a94a
biome 189 ffffff b2b952 9fa726
biome 190 ffffff 8eb971 71a74d
biome 191 ffffff 55c93f 2bbb0f
biome 192 ffffff eee980 a6c968
biome 193 ffffff 8dbb68 72a941
biome 194 00ff2e f0f970 a9fb6a
biome 195 ffffff 74d374 66e266
biome 196 ffffff 80b497 60a17b
biome 197 ffffff 7fdb7d 7fdb7d
biome 198 ffffff 517f51 619961
biome 199 ffffff cec577 aec681
biome 200 ffffff 8eb971 71a74d
biome 201 ffffff 86bb6f 68a94a
biome 202 ffffff 80b497 60a17b
biome 203 ffffff 7ca568 8acc6a
biome 204 ffffff a2ba5d 8ba835
biome 205 ffffff 6dc257 48b22c
biome 206 ffffff 6ac44e 45b421
biome 207 ffffff 53ca37 29bc05
biome 208 ffffff 88b977 6aa755
biome 209 ffffff b2b952 9fa726
biome 210 ffffff 86b688 67a369
biome 211 ffffff 7fbc6d 60aa48
biome 212 ffffff 63b26d 63b26d
biome 213 ffffff b9b953 a7a529
biome 214 588276 619365 619365
biome 215 ffffff 9cb774 83a352
biome 216 ff107a 69cfdb 70e099
biome 217 ffffff 73c447 50b41a
biome 218 1e1b26 3f4151 3f4151
biome 219 ffffff d5ff6d d5ff6d
biome 220 ffffff a2ff5f 3aff00
biome 221 ffffff adb861 9aa539
biome 222 ffffff c8e84a c8e84a
biome 223 383d6b 80b497 60a17b
biome 224 ffffff c8e580 ade07b
biome 225 cc5100 9e8b69 9e8b69
biome 226 ffffff 1ad86c 14e26f
biome 227 ffffff 91bd59 77ab2f
biome 228 ffffff 00995b 00995b
biome 229 ffffff b2b952 9fa726
biome 230 ffffff b9b953 a7a529
biome 231 ffffff bec44c b3c442
biome 232 ffffff 647f38 789643
biome 233 ffffff 91bd59 77ab2f
biome 234 ffffff a4b76e 8ca44a
biome 235 af9200 746429 919134
biome 236 ffffff 83bd65 65ab3e
biome 237 ffffff ccab5f ccab5f
biome 238 ffffff b6d367 bbdd63
biome 239 ffffff 9cb96d 84a648
biome 240 ffffff a6ad66 a89b59
biome 241 5dff00 a7e140 88e140
biome 242 ffffff 47cd33 1abf00
biome 243 ffffff ad8456 bf664e
biome 244 ffffff b9b953 a7a529
biome 245 e5ff00 9da078 999e55
biome 246 636084 5a935f 4f9657
biome 247 ffffff a6bb4e 91a922
biome 248 ffffff 91bd59 77ab2f
biome 249 ffffff b9b953 a7a529
biome 250 ffffff 79c05a 59ae30
biome 251 ffffff 82b593 63a277
biome 252 e0ff70 5c694e 496137
biome 253 ffffff 8ab689 6da36b
biome 254 4fff3f 62a03b 6bbc3c
biome 255 ffffff 80b497 60a17b
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff7d7d7d
block 2 * ff939393
block 3 * ff866043
block 4 * ff7b7b7b
block 5 * ffa68753
block 5 1 ff6e5231
block 5 2 ffcaba7f
block 5 3 ffa37552
block 6 * 787aa053
block 6 0 78437228
block 6 1 51323820
block 6 3 5e2e5912
block 6 4 78437228
block 6 5 51323820
block 6 7 5e2e5912
block 6 8 78437228
block 6 9 51323820
block 6 11 5e2e5912
block 6 12 78437228
block 6 13 51323820
block 6 15 5e2e5912
block 7 * ff535353
block 8 * b32e43f4
block 9 * b32e43f4
block 10 * ffd2530e
block 11 * ffd2530e
block 12 * ffd8d19c
block 13 * ff7b7977
block 14 * ff918d7e
block 15 * ff88837f
block 16 * ff727272
block 17 * ffd4d4ce
block 17 0 ff9e804f
block 17 1 ff654c2b
block 17 2 ffbba97c
block 17 3 ff997749
block 17 4 ff675132
block 17 5 ff2e1d0c
block 17 7 ff564419
block 17 8 ff675132
block 17 9 ff2e1d0c
block 17 11 ff564419
block 17 12 ff675132
block 17 13 ff2e1d0c
block 17 15 ff564419
block 18 * ff818181
block 18 1 ff2e482e
block 18 2 ff40542b
block 18 3 ff928f84
block 18 5 ff797979
block 18 7 ff928f84
block 18 9 ff797979
block 18 11 ff928f84
block 18 13 ff797979
block 18 15 ff928f84
block 19 * ffaeb034
block 20 * 25d9eff3
block 21 * ff656f86
block 22 * ff1a3d8d
block 23 * ff656565
block 23 1 ff5b5b5b
block 23 9 ff5b5b5b
block 24 * ffdad29e
block 25 * ff694634
block 26 * ffb07675
block 26 0 ff8c1514
block 26 1 ff8c1514
block 26 2 ff8c1514
block 26 3 ff8c1514
block 26 4 ff8c1514
block 26 5 ff8c1514
block 26 6 ff8c1514
block 26 7 ff8c1514
block 27 * ab986a47
block 27 0 ab826c48
block 27 1 ab826c48
block 27 2 ab826c48
block 27 3 ab826c48
block 27 4 ab826c48
block 27 5 ab826c48
block 27 6 ab826c48
block 27 7 ab826c48
block 28 * 9b865e52
block 28 0 9b786659
block 28 1 9b786659
block 28 2 9b786659
block 28 3 9b786659
block 28 4 9b786659
block 28 5 9b786659
block 28 6 9b786659
block 28 7 9b786659
block 29 * ff716c65
block 29 0 ff656565
block 29 1 ff8d9364
block 29 6 ff8d9364
block 29 7 ff8d9364
block 29 8 ff656565
block 29 9 ff666666
block 29 14 ff8d9364
block 29 15 ff8d9364
block 30 * 39dbdbdb
block 31 * 477a4f1a
block 31 1 7c717171
block 31 2 497a7a7a
block 32 * 477a4f1a
block 33 * ff716c65
block 33 0 ff656565
block 33 1 ff998159
block 33 6 ff998159
block 33 7 ff998159
block 33 8 ff656565
block 33 9 ff666666
block 33 14 ff998159
block 33 15 ff998159
block 34 * ff716c65
block 34 0 ff998159
block 34 1 ff998159
block 34 8 ff998159
block 34 9 ff8d9364
block 35 0 ffdcdcdc
block 35 1 ffda7c3e
block 35 2 ffb350bc
block 35 3 ff6989c8
block 35 4 ffb0a527
block 35 5 ff41ad38
block 35 6 ffcf8398
block 35 7 ff404040
block 35 8 ff9aa0a0
block 35 9 ff2e6e88
block 35 10 ff7e3db5
block 35 11 ff2e388c
block 35 12 ff4e321f
block 35 13 ff34461b
block 35 14 ff963330
block 35 15 ff191616
block 36 * ff998159
block 37 * 60ffff00
block 38 * 60ff0000
block 39 * 19896853
block 40 * 21c13336
block 41 * fffaef50
block 42 * ffdddddd
block 43 * ffece9e2
block 43 0 ffa0a0a0
block 43 1 ffdad29e
block 43 2 ffa68753
block 43 3 ff7b7b7b
block 43 4 ff885547
block 43 5 ff797979
block 43 6 ff2d161a
block 43 8 ffa0a0a0
block 43 9 ffdad29e
block 43 10 ffa68753
block 43 11 ff7b7b7b
block 43 12 ff885547
block 43 13 ff797979
block 43 14 ff2d161a
block 44 * ffece9e2
block 44 0 ffa0a0a0
block 44 1 ffdad29e
block 44 2 ffa68753
block 44 3 ff7b7b7b
block 44 4 ff885547
block 44 5 ff797979
block 44 6 ff2d161a
block 44 8 ffa0a0a0
block 44 9 ffdad29e
block 44 10 ffa68753
block 44 11 ff7b7b7b
block 44 12 ff885547
block 44 13 ff797979
block 44 14 ff2d161a
block 45 * ff885547
block 46 * ff8b584a
block 47 * ffa68753
block 48 * ff687868
block 49 * ff13121d
block 50 * 13826a3d
block 51 * b6dca253
block 52 * 9b1f2d38
block 53 * ffa68753
block 54 * ffa68753
block 55 * 27f3f3f3
block 56 * ff828d91
block 57 * ff69ddd8
block 58 * ff815735
block 59 * a6506306
block 59 0 0408a702
block 59 1 0d179804
block 59 2 29258f05
block 59 3 4c308406
block 59 4 6a317706
block 59 5 7c3b7107
block 59 6 8b517406
block 60 * ff4c280e
block 60 0 ff774e2f
block 61 * ff656565
block 62 * ff656565
block 63 * ffa68753
block 64 * ff896834
block 65 * 8f7d6237
block 66 * 657b705d
block 66 0 8f796c58
block 66 1 8f796c58
block 66 2 8f796c58
block 66 3 8f796c58
block 66 4 8f796c58
block 66 5 8f796c58
block 67 * ff7b7b7b
block 68 * ffa68753
block 69 * 13675740
block 70 * ff7d7d7d
block 71 * ffa4a4a4
block 72 * ffa68753
block 73 * ff846969
block 74 * ff846969
block 75 * 135c3f28
block 76 * 17945430
block 77 * ff7d7d7d
block 78 * ffeffbfb
block 79 * 9f7aabff
block 80 * ffeffbfb
block 81 * c30e6d1a
block 82 * ff9ea4b0
block 83 * 8795c165
block 84 * ff734e3b
block 85 * ffa68753
block 86 * ffcc7e17
block 87 * ff6a3030
block 88 * ff554134
block 89 * ff927646
block 90 * bf5c07c5
block 91 * ffcc7e17
block 92 * c3e5d2d3
block 93 * ff989494
block 94 * ffa19494
block 96 * db82602f
block 97 * ff7d7d7d
block 97 1 ff7b7b7b
block 97 2 ff797979
block 98 * ff797979
block 98 1 ff72766a
block 98 2 ff767676
block 98 3 ff747474
block 99 * ff8e6b53
block 99 0 ffd0af7c
block 99 10 ffd0af7c
block 99 11 ffd0af7c
block 99 12 ffd0af7c
block 99 13 ffd0af7c
block 99 15 ffd1cdc3
block 100 * ffb82e2d
block 100 0 ffd0af7c
block 100 10 ffd0af7c
block 100 11 ffd0af7c
block 100 12 ffd0af7c
block 100 13 ffd0af7c
block 100 15 ffd1cdc3
block 101 * 736f6d6b
block 102 * 25d9eff3
block 103 * ff959724
block 104 0 13009700
block 104 1 13129202
block 104 2 13258d04
block 104 3 13388807
block 104 4 134b8409
block 104 5 135e7f0b
block 104 6 13717a0e
block 104 7 13847510
block 104 8 13007112
block 104 9 13126c15
block 104 10 13256717
block 104 11 1338621a
block 104 12 134b5e1c
block 104 13 135e591e
block 104 14 13715421
block 104 15 13844f23
block 105 0 13009700
block 105 1 13129202
block 105 2 13258d04
block 105 3 13388807
block 105 4 134b8409
block 105 5 135e7f0b
block 105 6 13717a0e
block 105 7 13847510
block 105 8 13007112
block 105 9 13126c15
block 105 10 13256717
block 105 11 1338621a
block 105 12 134b5e1c
block 105 13 135e591e
block 105 14 13715421
block 105 15 13844f23
block 106 * 82747474
block 107 * ffa68753
block 108 * ff885547
block 109 * ff797979
block 110 * ff6e6368
block 111 * 830f3c16
block 112 * ff2d161a
block 113 * ff2d161a
block 114 * ff2d161a
block 115 * cc741513
block 115 0 2c741123
block 115 1 7c74121a
block 115 2 7c74121a
block 116 * ff6c433f
block 117 * 59906a4b
block 118 * 6f454545
block 119 * bf5c07c5
block 120 * ff5c7861
block 121 * ffdddea5
block 122 * ff0c090f
block 123 * ff4c2e1b
block 124 * ff805f3b
block 125 * ffa68753
block 125 1 ff6e5231
block 125 2 ffcaba7f
block 125 3 ffa37552
block 125 9 ff6e5231
block 125 10 ffcaba7f
block 125 11 ffa37552
block 126 * ffa68753
block 126 1 ff6e5231
block 126 2 ffcaba7f
block 126 3 ffa37552
block 126 9 ff6e5231
block 126 10 ffcaba7f
block 126 11 ffa37552
block 127 * 819d5922
block 128 * ffdad29e
block 129 * ff727f76
block 130 * ff13121d
block 131 * 2d897f70
block 132 * 08818181
block 133 * ff50d975
block 134 * ff6e5231
block 135 * ffcaba7f
block 136 * ffa37552
block 137 * ffba8f75
block 138 * ff74dcd7
block 139 * ff7b7b7b
block 139 1 ff687868
block 140 * 31774233
block 141 * 4d118f01
block 141 0 0400b612
block 141 1 0400b612
block 141 2 0f00bc13
block 141 3 0f00bc13
block 141 4 2700c712
block 141 5 2700c712
block 141 6 2700c712
block 142 * 6718ae21
block 142 0 0400b612
block 142 1 0400b612
block 142 2 0f00bc13
block 142 3 0f00bc13
block 142 4 2700c712
block 142 5 2700c712
block 142 6 2700c712
block 143 * ffa68753
block 144 * ff554134
block 145 * ff414141
block 146 * ffa68753
block 147 * fffaef50
block 148 * ffdddddd
block 149 * ffab9796
block 149 0 ffa09a98
block 149 1 ffa09a98
block 149 2 ffa09a98
block 149 3 ffa09a98
block 149 4 ffa09a98
block 149 5 ffa09a98
block 149 6 ffa09a98
block 149 7 ffa09a98
block 150 * ffab9796
block 151 * ff897b65
block 152 * ffab1c09
block 153 * ff835753
block 154 * 6f454545
block 155 * ffece9e2
block 155 1 ffe6e3da
block 155 2 ffe9e6de
block 155 3 ffe7e4db
block 155 4 ffe7e4db
block 156 * ffece9e2
block 157 * 9b675247
block 157 8 9b8a5347
block 157 9 9b8a5347
block 157 10 9b8a5347
block 157 11 9b8a5347
block 157 12 9b8a5347
block 157 13 9b8a5347
block 157 14 9b8a5347
block 157 15 9b8a5347
block 158 * ff656565
block 158 1 ff5d5d5d
block 158 9 ff5d5d5d
block 159 0 ffd1b2a1
block 159 1 ffa15425
block 159 2 ff95586c
block 159 3 ff716c89
block 159 4 ffba8523
block 159 5 ff677534
block 159 6 ffa14e4e
block 159 7 ff3a2a23
block 159 8 ff876b61
block 159 9 ff565b5b
block 159 10 ff764656
block 159 11 ff4a3b5b
block 159 12 ff4d3323
block 159 13 ff4c532a
block 159 14 ff8f3d2f
block 159 15 ff251710
block 160 * ff493527
block 160 1 ffe0c687
block 161 * ff5c533b
block 162 * ffc36539
block 162 1 ffc36a42
block 162 2 ffcf6d41
block 163 * ff2c2c2c
block 164 * ff555555
block 165 * ffafbad6
block 166 * ff75b049
block 167 * ff90673b
block 168 * ffae966a
block 169 * ff614131
block 169 0 ff66da9a
block 170 * ffa48312
block 170 0 ffa78b10
block 170 1 ffa78b10
block 170 2 ffa78b10
block 170 3 ffa78b10
block 171 0 ffdcdcdc
block 171 1 ffda7c3e
block 171 2 ffb350bc
block 171 3 ff6989c8
block 171 4 ffb0a527
block 171 5 ff41ad38
block 171 6 ffcf8398
block 171 7 ff404040
block 171 8 ff9aa0a0
block 171 9 ff2e6e88
block 171 10 ff7e3db5
block 171 11 ff2e388c
block 171 12 ff4e321f
block 171 13 ff34461b
block 171 14 ff963330
block 171 15 ff191616
block 172 * ff965c43
block 173 * ff121212
block 174 * ffa73e3c
block 243 * ff535353
block 243 0 ff4d4d4d
block 250 * ff6c6651
block 251 * ffa55f3e
block 251 0 ffab5b30
block 251 1 ff9b5133
block 252 * ff4a7c49
block 253 * ff44695f
block 254 * ffbababa
block 254 1 ffd5d5d5
block 254 2 ffd8d8d8
block 254 3 ffa4b2a9
block 255 * ff697c83
block 714 * 2e415218
block 715 * 62608922
block 716 * 3d535d1a
block 717 * 3e926630
block 718 * 6c3c5f17
block 719 * 4f163923
block 720 * 25628031
block 721 * 5c3e4a14
block 722 * 330c2f1d
block 723 * 30254f08
block 724 * 3651730d
block 725 * b433440c
block 726 * 34566c36
block 727 * 3a52571b
block 728 * 6b8f842d
block 729 * 6b806012
block 730 * ff8c6f44
block 730 0 ff9a7d4d
block 730 1 ff9a7d4d
block 730 2 ff9a7d4d
block 730 3 ff9a7d4d
block 731 * ffafa48c
block 731 0 ffddcc97
block 731 1 ffddcc97
block 731 2 ffddcc97
block 731 3 ffddcc97
block 732 * ff2e200a
block 732 0 ff715d44
block 732 1 ff715d44
block 732 2 ff715d44
block 732 3 ff715d44
block 733 * ffb8b7b4
block 733 0 ffcabe9a
block 733 1 ffcabe9a
block 733 2 ffcabe9a
block 733 3 ffcabe9a
block 734 * ff6b3d24
block 734 0 ff8b6344
block 734 1 ff8b6344
block 734 2 ff8b6344
block 734 3 ff8b6344
block 735 * ff9b7c57
block 735 0 ffab8d5c
block 735 1 ffab8d5c
block 735 2 ffab8d5c
block 735 3 ffab8d5c
block 736 * ff6f5e45
block 736 0 ff998057
block 736 1 ff998057
block 736 2 ff998057
block 736 3 ff998057
block 737 * ffa4a3a0
block 737 0 ffb6ab8a
block 737 1 ffb6ab8a
block 737 2 ffb6ab8a
block 737 3 ffb6ab8a
block 738 * ff695635
block 738 0 ffa1906b
block 738 1 ffa1906b
block 738 2 ffa1906b
block 738 3 ffa1906b
block 739 * 9a848f2d
block 740 * c9268819
block 741 * b6174d30
block 742 * 9a467a39
block 743 * b6374d2e
block 744 * a832811e
block 745 * 9a3f6037
block 746 * 9a508e42
block 747 * 9a688952
block 748 * 9adc7346
block 749 * 9ad1c365
block 750 * 38305f46
block 751 * 4f3f5a12
block 752 * 268eaf66
block 753 * 8c664e33
block 754 * 766c5678
block 755 * 75494d1a
block 756 * 65324c32
block 757 * 5d4b571c
block 758 * 4da2c49a
block 759 * ffa0853f
block 759 1 ffcabfad
block 759 2 ff8c5139
block 759 3 ff827873
block 760 * ffa0853f
block 761 * ffcabfad
block 762 * ff8c5139
block 763 * ff827873
block 764 * ffa0853f
block 764 1 ffcabfad
block 764 2 ff8c5139
block 764 3 ff827873
block 764 9 ffcabfad
block 764 10 ff8c5139
block 764 11 ff827873
block 765 * ffa0853f
block 765 1 ffcabfad
block 765 2 ff8c5139
block 765 3 ff827873
block 765 9 ffcabfad
block 765 10 ff8c5139
block 765 11 ff827873
block 1467 * ff797979
block 1467 0 ff2d2542
block 1467 1 ffd8d099
block 1467 2 ff703d3a
block 1467 3 ff9e9e9e
block 1467 4 ffd5d5d5
block 1467 5 ffc7c41d
block 1467 6 ff274b90
block 1467 7 ff24b2ad
block 1467 8 ffb70000
block 1467 9 ffb8aa60
block 1467 10 ff67c000
block 1467 11 ff07b4b7
block 1467 12 ffb3b575
block 1467 13 ff1a194f
block 1468 * ff3c3c3c
block 1469 * ff675132
block 1470 * ffecc050
block 1471 * ff76442c
block 1471 0 ff82683d
block 1471 1 ff8f7345
block 1471 2 ff8f7345
block 1471 3 ff8f7345
block 1471 4 ff8f7345
block 1471 10 ff8b7043
block 1471 11 ff8b7043
block 1471 12 ff8b7043
block 1471 13 ff8b7043
block 1472 * ffdddddd
block 1473 * ff343434
block 1473 1 5b4a4a4a
block 1473 2 6b484848
block 1474 0 ff353535
block 1474 1 ff383838
block 1474 2 ff353535
block 1474 3 ff353535
block 1474 4 ff3b3b3b
block 1474 5 ff383838
block 1474 6 ff3a3a3a
block 1474 7 ff333333
block 1474 8 ff363636
block 1474 9 ff363636
block 1474 10 ff333333
block 1474 11 ff3a3a3a
block 1475 * ff632b2a
block 1475 1 ff50344b
block 1475 2 ff805831
block 1475 3 ff887e71
block 1475 4 ff7b736e
block 1475 5 ff919191
block 1475 6 ff747374
block 1476 * ff2c5805
block 1476 1 ff9fa1ab
block 1476 2 ff054f58
block 1476 3 ff392a10
block 1476 4 ff684224
block 1476 5 ff629298
block 1476 6 ff773911
block 1477 * ff363636
block 1477 0 ff414141
block 1477 2 ff3d3d3d
block 1478 * ff277be1
block 1478 1 ffe06702
block 1478 2 ff9255bc
block 1478 3 ffca580f
block 1478 4 ff8b6422
block 1478 5 ffd7b389
block 1478 6 ffd9d9d9
block 1478 7 ffd4ae43
block 1478 8 ffee86a9
block 1478 9 ffa7a7a7
block 1478 10 ff00826b
block 1479 * 8f4c4c4c
block 1481 * ff231d34
block 1481 1 ffd8d19c
block 1481 2 ff743f3b
block 1481 3 ffa6a6a6
block 1481 4 ffdadada
block 1481 5 ffcecb42
block 1481 6 ff254a98
block 1481 7 ff3bbfb8
block 1481 8 ffb60101
block 1481 9 ffbbad66
block 1481 10 ff59bf04
block 1481 11 ff04babf
block 1481 12 ffcbcd98
block 1481 13 ff232159
block 1482 * ff2e1d0c
block 1483 * ffd4d4ce
block 1484 * 13817962
block 1485 * ff776837
block 1485 0 ff775337
block 1485 2 ff643f1b
block 1485 3 ff61381f
block 1485 4 ff775337
block 1485 6 ff643f1b
block 1485 7 ff61381f
block 1485 8 ff775337
block 1485 10 ff643f1b
block 1485 11 ff61381f
block 1485 12 ff856955
block 1485 13 ff938048
block 1485 14 ff7c5831
block 1485 15 ff6d4630
block 1486 0 ff4d5b61
block 1486 1 ff88ae3f
block 1486 4 ff4d5b61
block 1486 5 ff88ae3f
block 1486 8 ff4d5b61
block 1486 9 ff88ae3f
block 1486 12 ff72797d
block 1486 13 ff6daa33
block 1487 * ff564419
block 1488 0 ff8c827c
block 1488 1 ff908a7a
block 1488 2 ff897c6e
block 1488 3 ff7c716c
block 1488 4 ff918f8d
block 1488 5 ff5c677d
block 1489 * ff8c866e
block 1489 1 ff79776a
block 1489 2 ff938c64
block 1489 3 ff847e58
block 1489 4 ff807a54
block 1489 5 ff807a55
block 1489 6 ff7d7750
block 1920 * ff5b4435
block 1921 * ffbda0c5
block 1921 1 ffed70ff
block 1921 2 ff896d77
block 1921 3 ffd04d68
block 1921 4 ff7e8471
block 1921 5 ff99b564
block 1921 6 ff897b6b
block 1921 7 ffd27c1e
block 1921 8 ff786b85
block 1921 9 ff6d2fcb
block 1921 10 ff6c8580
block 1921 11 ff43b08d
block 1921 12 ff6e7c86
block 1921 13 ff4d96d1
block 1922 * ff2e6f93
block 1923 * fff7f7f7
block 1924 * ffa57b3e
block 1924 1 ffc8ae68
block 1924 2 ff94703a
block 1924 3 ffbe8d42
block 1925 * e0fdaf35
block 1926 * ffedebc9
block 1927 * ff866043
block 1928 * ff6c5f31
block 1940 * ff615545
block 1940 0 ff91865e
block 1940 1 ff81312a
block 1940 2 ff6d4d4e
block 1940 3 ff968269
block 1940 4 ff5e573e
block 1940 5 ff64382b
block 1940 6 ff3d2e2d
block 1940 8 ff5e573e
block 1940 9 ff64382b
block 1940 10 ff3d2e2d
block 1940 12 ff5e573e
block 1940 13 ff64382b
block 1940 14 ff3d2e2d
block 1941 * ffc6b89f
block 1941 0 ffcda663
block 1941 1 ff5b689b
block 1941 2 ffe0d5bf
block 1941 3 ff9f7748
block 1941 4 ff7e715b
block 1941 5 ff5e636b
block 1941 7 ff654b2e
block 1941 8 ff7e715b
block 1941 9 ff5e636b
block 1941 11 ff654b2e
block 1941 12 ff7e715b
block 1941 13 ff5e636b
block 1941 15 ff654b2e
block 1942 * ff683f27
block 1942 0 ff9f6038
block 1942 1 ff808d5d
block 1942 2 ff796c57
block 1942 3 ff1a6f0b
block 1942 5 ff4d5233
block 1942 6 ff3f3930
block 1942 7 ff147302
block 1942 9 ff4d5233
block 1942 10 ff3f3930
block 1942 11 ff147302
block 1942 13 ff4d5233
block 1942 14 ff3f3930
block 1942 15 ff147302
block 1943 0 ff957457
block 1943 1 ffb18760
block 1943 2 ffc0a89f
block 1943 4 ff5b4837
block 1943 5 ff694f3b
block 1943 6 ff6f5f59
block 1943 8 ff5b4837
block 1943 9 ff694f3b
block 1943 10 ff6f5f59
block 1943 12 ff5b4837
block 1943 13 ff694f3b
block 1943 14 ff6f5f59
block 1950 * 7d8bab2e
block 1950 0 7e82651c
block 1950 2 9a4d6f93
block 1950 3 6e232432
block 1950 4 7e82651c
block 1950 6 9a4d6f93
block 1950 7 6e232432
block 1950 8 7e82651c
block 1950 10 9a4d6f93
block 1950 11 6e232432
block 1950 12 7e82651c
block 1950 14 9a4d6f93
block 1950 15 6e232432
block 1951 * 97385c40
block 1951 0 7e624d2a
block 1951 2 8b56b876
block 1951 3 7e6a381e
block 1951 4 7e624d2a
block 1951 6 8b56b876
block 1951 7 7e6a381e
block 1951 8 7e624d2a
block 1951 10 8b56b876
block 1951 11 7e6a381e
block 1951 12 7e624d2a
block 1951 14 8b56b876
block 1951 15 7e6a381e
block 1952 * 7e3abd28
block 1952 1 72e89fc3
block 1952 2 7e5c2525
block 1952 3 72dbc3d1
